SampleID	freebayes	lofreq	Mutect2	sniper	strelka2	VarDict	VarScan
FA210J0125-A3ABF91RNF2-Y01K-100100	0.221937438868605	0.0341575884243167	0.166805243818959	0.329460539414586	0.173748068523088	0.0882580102456654	1.89237347142234
FA210J0125-A3ABF91RNF2-Y01K-10040	0.0690869240524996	0.064555336270888	0.23485632343557	0.437619396017987	0.144506273433162	0.306509447903092	1.01075070740677
FA210J0125-A3ABF91RNF2-Y01K-10060	0.152851949088168	0.0520313527185303	0.211033252067743	0.399864126539157	0.139129408052842	0.189408137462676	1.39070747465151
FA210J0125-A3ABF91RNF2-Y01K-10080	0.196820552226285	0.0428973646128127	0.173326116094135	0.369103005105488	0.153893714944142	0.14966879089515	1.42915854345134
FA210J0125-A3ABF91RNF2-Y01K-40100	0.130137606860826	0.0712819507977783	0.08343965169135	0.0200675361684713	0.268506574393736	-0.003712010077918	1.75420576837373
FA210J0125-A3ABF91RNF2-Y01K-4040	0.108436133489149	0.0587744058875086	0.135113004650843	0.150523964431699	0.129165851987232	0.157001772126173	1.17256992093728
FA210J0125-A3ABF91RNF2-Y01K-4060	0.111099636952901	0.0462892640150722	0.116488765722416	0.126622967757237	0.161578608767688	0.0557266946293458	1.39920636032167
FA210J0125-A3ABF91RNF2-Y01K-4080	0.0913383571789926	0.0693180630996493	0.0997812136909975	0.0421250341142995	0.229890505635526	0.0016456654809206	1.81176836289127
FA210J0125-A3ABF91RNF2-Y01K-60100	0.216131745821301	-0.0001824196246321	0.113109163383975	0.0823130456496503	0.227058918257037	0.0481892896642205	2.23085440176962
FA210J0125-A3ABF91RNF2-Y01K-6040	0.0691142480242615	0.0334391854490447	0.212938587942361	0.217910809227102	0.121065634776522	0.271424839633635	1.26195417030099
FA210J0125-A3ABF91RNF2-Y01K-6060	0.107362218821307	-0.0048774111017318	0.154462728307663	0.119962758815665	0.12903577616168	0.139259610991795	2.16085589028544
FA210J0125-A3ABF91RNF2-Y01K-6080	0.160354108559186	-0.0093190999358159	0.125149414926135	0.0623703001227875	0.183400112610598	0.0990211522634487	2.3297216476123
FA210J0125-A3ABF91RNF2-Y01K-80100	0.260240990388839	0.006134583810572	0.141242175028979	0.218319364140784	0.1859014394915	0.0967127380014868	2.09098457997537
FA210J0125-A3ABF91RNF2-Y01K-8040	0.0597883013168879	0.0510628388817304	0.221685136214744	0.347604225137804	0.135504804946736	0.296107682303107	1.15357172851406
FA210J0125-A3ABF91RNF2-Y01K-8060	0.136931162389722	0.016950876600145	0.17325008526181	0.278841626398206	0.128609342970418	0.180222664589037	1.74434642533547
FA210J0125-A3ABF91RNF2-Y01K-8080	0.164044585319183	0.0181591628867428	0.13120672192959	0.225296874400439	0.163243709475799	0.150165223992805	1.88422202541842
FA210L0080-A3ABF91RNF3-Y01K-100100	0.656371764360433	0.398305926538862	0.597298628997368	0.929285034465461	0.732417896985156	0.680255614246394	0.73333211377871
FA210L0080-A3ABF91RNF3-Y01K-10040	0.76573416754714	0.635142576568206	0.764149799263815	0.928827423550487	0.633817302075996	0.897881673715454	0.612894967595116
FA210L0080-A3ABF91RNF3-Y01K-10060	0.664663022870072	0.461591185734632	0.636877879283518	0.890114777046005	0.592152110935428	0.727565479777425	0.619663821224955
FA210L0080-A3ABF91RNF3-Y01K-10080	0.673884571371738	0.496854361245213	0.617453136139338	0.92569605282301	0.689122692897108	0.697073250750261	0.628877047535734
FA210L0080-A3ABF91RNF3-Y01K-40100	0.78814234505845	0.656649773848223	0.300917133594374	0.897177888036021	0.909730272864729	0.670981440740777	0.780202286198668
FA210L0080-A3ABF91RNF3-Y01K-4040	0.741449630260648	0.66338645954699	0.524446871332641	0.881469137160885	0.735764499290627	0.833499745677211	1.23269684860267
FA210L0080-A3ABF91RNF3-Y01K-4060	0.811849411465049	0.703471984111093	0.429391034930048	0.896268407280078	0.795625224717568	0.804288822081123	0.787263758599456
FA210L0080-A3ABF91RNF3-Y01K-4080	0.795332052138765	0.699830247259426	0.355588634303924	0.885396390192886	0.877279455347064	0.652522285387118	0.932944434067852
FA210L0080-A3ABF91RNF3-Y01K-60100	0.737377614012257	0.629593165767708	0.551359588030274	0.914613009426037	0.813780591565383	0.743806507020079	0.777700728043058
FA210L0080-A3ABF91RNF3-Y01K-6040	0.822899621140551	0.673368842814595	0.6760278428147	0.923529602872387	0.703730109080704	0.870187412263098	1.0221216023297
FA210L0080-A3ABF91RNF3-Y01K-6060	0.793823655389493	0.621948021979262	0.612831761019133	0.909065289819556	0.651478632976401	0.750498988444641	0.677802607059958
FA210L0080-A3ABF91RNF3-Y01K-6080	0.748712252052121	0.578363392056753	0.551290471126931	0.913071895745857	0.771322443755738	0.717901983902097	0.588881239556983
FA210L0080-A3ABF91RNF3-Y01K-80100	0.720963549818596	0.572269520910992	0.62235938439041	0.927594737540443	0.763675935422498	0.741152791466186	0.93864904103209
FA210L0080-A3ABF91RNF3-Y01K-8040	0.787858179938352	0.630417488723137	0.728459820389906	0.939270832571644	0.669788761181987	0.878287977748268	0.743679168524155
FA210L0080-A3ABF91RNF3-Y01K-8060	0.779932145571227	0.439278371018621	0.59386008226346	0.89115724561256	0.561188766644715	0.776101233259854	0.667408824929212
FA210L0080-A3ABF91RNF3-Y01K-8080	0.733266529607687	0.604621848924787	0.575425237306185	0.913497532807361	0.728800977331784	0.763535813479145	0.630864494496004
FA210U0264-A3AAF91RNF2-Y01K-100100	0.321030094296527	0.273787772357347	0.550359560316835	0.748326773770059	0.50998222092578	0.26541072308115	0.203457832942337
FA210U0264-A3AAF91RNF2-Y01K-10040	0.4357220397418	0.346686008658766	0.613700016492107	0.787618221837817	0.394719363379155	0.550230693467213	0.142254582774725
FA210U0264-A3AAF91RNF2-Y01K-10060	0.406013061786368	0.316557731685279	0.574981912780809	0.770653576216108	0.407166683442439	0.416606166985198	0.342509255593884
FA210U0264-A3AAF91RNF2-Y01K-10080	0.359143848475828	0.270790561305389	0.546869178926597	0.746399136057737	0.470946167280155	0.311784553639668	0.19204052387338
FA210U0264-A3AAF91RNF2-Y01K-40100	0.426151413748078	0.367724204671719	0.479903579797786	0.614720494399668	0.663289616815106	0.255296343894949	0.386927402242586
FA210U0264-A3AAF91RNF2-Y01K-4040	0.537128647353902	0.496201112089948	0.541407888093259	0.647078655847287	0.517403131997121	0.529171249495237	0.522437939659804
FA210U0264-A3AAF91RNF2-Y01K-4060	0.45500421113484	0.460463969550851	0.486606672894921	0.610750397365553	0.569104595355648	0.352148085183242	0.403976789925231
FA210U0264-A3AAF91RNF2-Y01K-4080	0.404483646323257	0.395061356025535	0.481461197136743	0.602184342188209	0.588829741984511	0.263675942146955	0.583322213395981
FA210U0264-A3AAF91RNF2-Y01K-60100	0.379887063393043	0.297369344663033	0.526488535573417	0.614407227041869	0.53956676244826	0.223228005333449	0.374381594106489
FA210U0264-A3AAF91RNF2-Y01K-6040	0.492655691513871	0.409032239149651	0.594477322067829	0.661723170871386	0.357931950220265	0.518366501688234	0.37249318647801
FA210U0264-A3AAF91RNF2-Y01K-6060	0.403501939583173	0.376289984874295	0.550681395195146	0.65389697979174	0.437762163950455	0.369384165777681	0.33024288233613
FA210U0264-A3AAF91RNF2-Y01K-6080	0.360387286301479	0.325650244912358	0.56639272484046	0.614850646912684	0.482525316178486	0.271362679475348	0.399272509253334
FA210U0264-A3AAF91RNF2-Y01K-80100	0.340181908694406	0.238832074124103	0.500398528222548	0.703684698573855	0.486420680736179	0.290202626831791	0.321823030965073
FA210U0264-A3AAF91RNF2-Y01K-8040	0.455544259886918	0.356491548957968	0.624317844844855	0.766433136135339	0.393791641077837	0.540680505048677	0.279562858426764
FA210U0264-A3AAF91RNF2-Y01K-8060	0.397383534626209	0.319356733447682	0.575804233498047	0.74599449145702	0.412689905189914	0.416421620589813	0.171939595007785
