ID	freebayes	lofreq	Mutect2	sniper	strelka2	VarDict	VarScan
FA216F0039-A3A9F91RNF2-Y01K-6060	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FA216F0039-A3A9F91RNF2-Y01K-6080	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FA216F0039-A3A9F91RNF2-Y01K-80100	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA216F0039-A3A9F91RNF2-Y01K-8040	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA216F0039-A3A9F91RNF2-Y01K-8060	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA216F0039-A3A9F91RNF2-Y01K-8080	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21860388-A3ABF9DXNF2-Y01K-100100	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA21860388-A3ABF9DXNF2-Y01K-10040	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21860388-A3ABF9DXNF2-Y01K-10060	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21860388-A3ABF9DXNF2-Y01K-10080	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA21860388-A3ABF9DXNF2-Y01K-40100	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA21860388-A3ABF9DXNF2-Y01K-4040	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA21860388-A3ABF9DXNF2-Y01K-4060	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA21860388-A3ABF9DXNF2-Y01K-4080	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA21860388-A3ABF9DXNF2-Y01K-60100	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA21860388-A3ABF9DXNF2-Y01K-6040	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FA21860388-A3ABF9DXNF2-Y01K-6060	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA21860388-A3ABF9DXNF2-Y01K-6080	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA21860388-A3ABF9DXNF2-Y01K-80100	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA21860388-A3ABF9DXNF2-Y01K-8040	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21860388-A3ABF9DXNF2-Y01K-8060	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FA21860388-A3ABF9DXNF2-Y01K-8080	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA218A0039-A3AAF91RNF2-Y01K-100100	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA218A0039-A3AAF91RNF2-Y01K-10040	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA218A0039-A3AAF91RNF2-Y01K-10060	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA218A0039-A3AAF91RNF2-Y01K-10080	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FA218A0039-A3AAF91RNF2-Y01K-40100	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FA218A0039-A3AAF91RNF2-Y01K-4040	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA218A0039-A3AAF91RNF2-Y01K-4060	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FA218A0039-A3AAF91RNF2-Y01K-4080	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FA218A0039-A3AAF91RNF2-Y01K-60100	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FA218A0039-A3AAF91RNF2-Y01K-6040	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA218A0039-A3AAF91RNF2-Y01K-6060	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA218A0039-A3AAF91RNF2-Y01K-6080	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA218A0039-A3AAF91RNF2-Y01K-80100	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA218A0039-A3AAF91RNF2-Y01K-8040	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA218A0039-A3AAF91RNF2-Y01K-8060	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA218A0039-A3AAF91RNF2-Y01K-8080	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA219N0010-A3ABF91RNF2-Y01K-100100	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA219N0010-A3ABF91RNF2-Y01K-10040	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA219N0010-A3ABF91RNF2-Y01K-10060	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA219N0010-A3ABF91RNF2-Y01K-10080	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA219N0010-A3ABF91RNF2-Y01K-40100	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA219N0010-A3ABF91RNF2-Y01K-4040	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA219N0010-A3ABF91RNF2-Y01K-4060	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA219N0010-A3ABF91RNF2-Y01K-4080	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA219N0010-A3ABF91RNF2-Y01K-60100	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA219N0010-A3ABF91RNF2-Y01K-6040	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA219N0010-A3ABF91RNF2-Y01K-6060	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA219N0010-A3ABF91RNF2-Y01K-6080	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA219N0010-A3ABF91RNF2-Y01K-80100	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA219N0010-A3ABF91RNF2-Y01K-8040	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA219N0010-A3ABF91RNF2-Y01K-8060	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA219N0010-A3ABF91RNF2-Y01K-8080	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21A00249-A3ABF90XNF2-Y01K-100100	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21A00249-A3ABF90XNF2-Y01K-10040	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21A00249-A3ABF90XNF2-Y01K-10060	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21A00249-A3ABF90XNF2-Y01K-10080	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21A00249-A3ABF90XNF2-Y01K-40100	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21A00249-A3ABF90XNF2-Y01K-4040	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21A00249-A3ABF90XNF2-Y01K-4060	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21A00249-A3ABF90XNF2-Y01K-4080	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21A00249-A3ABF90XNF2-Y01K-60100	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21A00249-A3ABF90XNF2-Y01K-6040	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21A00249-A3ABF90XNF2-Y01K-6060	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21A00249-A3ABF90XNF2-Y01K-6080	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21A00249-A3ABF90XNF2-Y01K-80100	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21A00249-A3ABF90XNF2-Y01K-8040	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21A00249-A3ABF90XNF2-Y01K-8060	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21A00249-A3ABF90XNF2-Y01K-8080	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B40256-A3ABF90XNF2-Y01K-100100	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21B40256-A3ABF90XNF2-Y01K-10040	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B40256-A3ABF90XNF2-Y01K-10060	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B40256-A3ABF90XNF2-Y01K-10080	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21B40256-A3ABF90XNF2-Y01K-40100	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21B40256-A3ABF90XNF2-Y01K-4040	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B40256-A3ABF90XNF2-Y01K-4060	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B40256-A3ABF90XNF2-Y01K-4080	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21B40256-A3ABF90XNF2-Y01K-60100	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21B40256-A3ABF90XNF2-Y01K-6040	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B40256-A3ABF90XNF2-Y01K-6060	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21B40256-A3ABF90XNF2-Y01K-6080	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21B40256-A3ABF90XNF2-Y01K-80100	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21B40256-A3ABF90XNF2-Y01K-8040	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B40256-A3ABF90XNF2-Y01K-8060	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B40256-A3ABF90XNF2-Y01K-8080	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21B50031-A3AAF9DXNF2-Y01K-100100	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B50031-A3AAF9DXNF2-Y01K-10040	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B50031-A3AAF9DXNF2-Y01K-10060	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B50031-A3AAF9DXNF2-Y01K-10080	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B50031-A3AAF9DXNF2-Y01K-40100	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21B50031-A3AAF9DXNF2-Y01K-4040	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FA21B50031-A3AAF9DXNF2-Y01K-4060	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FA21B50031-A3AAF9DXNF2-Y01K-4080	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FA21B50031-A3AAF9DXNF2-Y01K-60100	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21B50031-A3AAF9DXNF2-Y01K-6040	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B50031-A3AAF9DXNF2-Y01K-6060	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21B50031-A3AAF9DXNF2-Y01K-6080	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA21B50031-A3AAF9DXNF2-Y01K-80100	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B50031-A3AAF9DXNF2-Y01K-8040	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B50031-A3AAF9DXNF2-Y01K-8060	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B50031-A3AAF9DXNF2-Y01K-8080	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B80187-A3ABF91RNF2-Y01K-100100	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B80187-A3ABF91RNF2-Y01K-10040	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B80187-A3ABF91RNF2-Y01K-10060	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B80187-A3ABF91RNF2-Y01K-10080	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B80187-A3ABF91RNF2-Y01K-40100	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FA21B80187-A3ABF91RNF2-Y01K-4040	0.0	0.0	0.0	0.0	1.0	0.0	0.0
FA21B80187-A3ABF91RNF2-Y01K-4060	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FA21B80187-A3ABF91RNF2-Y01K-4080	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FA21B80187-A3ABF91RNF2-Y01K-60100	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B80187-A3ABF91RNF2-Y01K-6040	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B80187-A3ABF91RNF2-Y01K-6060	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B80187-A3ABF91RNF2-Y01K-6080	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B80187-A3ABF91RNF2-Y01K-80100	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B80187-A3ABF91RNF2-Y01K-8040	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B80187-A3ABF91RNF2-Y01K-8060	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B80187-A3ABF91RNF2-Y01K-8080	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B80430-A3ABF91RNF2-Y01K-100100	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B80430-A3ABF91RNF2-Y01K-10040	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B80430-A3ABF91RNF2-Y01K-10060	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B80430-A3ABF91RNF2-Y01K-10080	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA21B80430-A3ABF91RNF2-Y01K-40100	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FA21B80430-A3ABF91RNF2-Y01K-4040	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FA21B80430-A3ABF91RNF2-Y01K-4060	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FA21B80430-A3ABF91RNF2-Y01K-4080	0.0	0.0	1.0	0.0	0.0	0.0	0.0
FA21B80430-A3ABF91RNF2-Y01K-60100	0.0	0.0	0.0	0.0	1.0	0.0	0.0
FA21B80430-A3ABF91RNF2-Y01K-6040	0.0	0.0	0.0	0.0	1.0	0.0	0.0
FA21B80430-A3ABF91RNF2-Y01K-6060	0.0	0.0	0.0	0.0	1.0	0.0	0.0
FA21B80430-A3ABF91RNF2-Y01K-6080	0.0	0.0	0.0	0.0	1.0	0.0	0.0
FA21B80430-A3ABF91RNF2-Y01K-80100	0.0	1.0	0.0	0.0	0.0	0.0	0.0
